,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
72,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Five Points Academy,40.71956613944412,-73.99981894110421,Martial Arts Dojo
73,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Gleason's Gym,40.703169,-73.9891221,Boxing Gym
74,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox Tribeca,40.71409860726041,-74.0096857179283,Gym
75,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Hit House,40.7210258578459,-73.99383718121187,Gym / Fitness Center
76,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox Printing House,40.72997832429907,-74.00712496239795,Gym
77,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox Orchard Street,40.72237017311023,-73.98793738659782,Gym
78,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Crunch - Tribeca,40.717195410510364,-74.00512799620634,Gym / Fitness Center
79,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Pop Physique,40.723587210326464,-73.99284047343448,Gym / Fitness Center
80,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,New York Sports Clubs,40.727556,-73.9959131,Gym / Fitness Center
81,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Y7 Studio - Tribeca,40.7178305720227,-74.0062042065723,Gym / Fitness Center
82,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Work Train Fight,40.726382875668484,-73.99584194137591,Gym
83,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,New York Health & Racquet Club,40.72919667,-73.99088333,Gym / Fitness Center
84,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Barry's Bootcamp TriBeCa,40.721128035611365,-74.00539755821228,Gym
85,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Box + Flow,40.725809441492444,-73.99255864880716,Gym / Fitness Center
86,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Exceed Physical Culture,40.7156286200256,-74.0079922583853,Gym / Fitness Center
87,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Soho Strength Lab,40.72091868479453,-73.99667006875207,Gym / Fitness Center
88,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox Bond Street,40.72708,-73.994788,Gym / Fitness Center
89,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,The Class by Taryn Toomey,40.71275251771485,-74.00873355601571,Gym / Fitness Center
90,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,CrossFit 212 TriBeCa,40.714537431170484,-74.00599852611592,Gym
91,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,GYM NYC,40.72264592062656,-73.99637717903293,Gym
92,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Physique 57,40.725883426523026,-74.00378718082742,Gym
93,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Gotham Gym,40.730950250825344,-74.00900698213964,Gym
94,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Barry's Bootcamp NoHo,40.7289365661847,-73.99224109396116,Gym
95,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Switch Playground SoHo,40.72594565282432,-74.00394265793933,Gym
96,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox Dumbo,40.702597,-73.988892,Gym
97,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox Greenwich Avenue,40.73756890683277,-74.00177725483236,Gym
98,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Project by Equinox,40.723875548890625,-73.99552991560462,Gym
99,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,F45 Training Lower East Side,40.72070090930518,-73.98807183473178,Gym / Fitness Center
100,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Crunch - FiDi,40.708614,-74.010013,Gym / Fitness Center
101,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Yoga Vida,40.7270016507027,-73.99522462200933,Yoga Studio
102,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Planet Fitness,40.72057474635559,-74.00398732733551,Gym / Fitness Center
103,Manhattan,Chinatown,40.715618422314364,-73.99427936255985,Equinox Flatiron,40.738961433134314,-73.9897805284278,Gym / Fitness Center
