,Unnamed: 0,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Address,Distance,Postalcode,City,State,Venue Category
560,708,Queens,Glendale,40.702762429678415,-73.87074167435614,CrossFit Glendale,40.70992427095417,-73.86641222449022,70-17 83rd St,876,11385.0,Queens,NY,Gym
567,718,Queens,College Point,40.78490274926025,-73.84304528896132,Crossfit Mma of Whitestone,40.786832633734726,-73.83710200617963,13-15 131st Street,545,,Queens,NY,Athletics & Sports
569,720,Queens,Bayside,40.76604063281068,-73.77427363068676,CrossFit Bayside,40.761794490178225,-73.76046454597872,220-40 Northern Blvd,1256,11361.0,Queens,NY,Gym
572,723,Queens,Auburndale,40.761729549032665,-73.79176243728068,CrossFit 192,40.759054011543185,-73.78964241352489,42-04 192nd St,347,11358.0,Queens,NY,Athletics & Sports
575,726,Queens,Little Neck,40.770826192826746,-73.73889775580747,Crossfit Great Neck,40.77574180180581,-73.73000784492471,164 Northern Blvd,927,11021.0,Queens,NY,Gym / Fitness Center
579,730,Queens,Bellerose,40.72857318176679,-73.7201281482691,Crossfit bayside,40.728640470782906,-73.7260904148116,220-40 Northern Blvd,503,11361.0,Queens,NY,Gym
587,738,Queens,Steinway,40.77592301564293,-73.90228960391681,CrossFit Dynamix,40.777934283083674,-73.90354697996084,36-05 20th Ave,247,11105.0,Queens,NY,Gym / Fitness Center
589,741,Queens,Steinway,40.77592301564293,-73.90228960391681,Efc Crossfit,40.775408499387595,-73.91088570183537,22-15 31st St,726,11105.0,Queens,NY,Gym
610,767,Queens,Forest Hills Gardens,40.71461108151174,-73.84102211234017,Crossfit Breed,40.71960992658202,-73.84300043768516,63-49 60th Pl,580,11385.0,Queens,NY,Gym / Fitness Center
614,771,Staten Island,Stapleton,40.626927625381796,-74.07790192660073,Verrazano Crossfit,40.630147719424905,-74.0765137733989,480 Bay St,377,10304.0,Staten Island,NY,Athletics & Sports
623,780,Staten Island,New Dorp,40.572572318206355,-74.11647943606387,Third Rail CrossFit,40.57347606762298,-74.11803448230869,81 New Dorp Plz N,165,10306.0,Staten Island,NY,Athletics & Sports
642,799,Staten Island,Grant City,40.57621558711792,-74.10585598545441,Unbeaten Crossfit,40.575709,-74.105202,2271 Hylan Boulevard,78,10306.0,Staten Island,NY,Gym
649,806,Staten Island,Chelsea,40.594726027462976,-74.18956045519697,Staten Island Crossfit,40.59708162854936,-74.1826428966589,3801 Victory Blvd,640,10314.0,Staten Island,NY,Gym
653,810,Manhattan,Carnegie Hill,40.78268256712574,-73.9532564683712,Crossfit Concrete Jungle,40.782758706068456,-73.94729157655303,309 E 94th St,502,10128.0,Manhattan,NY,Gym
661,825,Manhattan,Civic Center,40.71522892046285,-74.00541529873362,CrossFit 212 TriBeCa,40.71453743117048,-74.00599852611592,281 Broadway,91,10007.0,Manhattan,NY,Gym
664,829,Manhattan,Civic Center,40.71522892046285,-74.00541529873362,Crossfit 212,40.71805284050912,-74.00475220100614,84 Franklin St,319,10013.0,Manhattan,NY,Gym / Fitness Center
675,843,Manhattan,Midtown South,40.74850966431225,-73.98871313285254,CrossFit NYC,40.745898719350095,-73.99009029202607,50 W 28th St,312,10001.0,Manhattan,NY,Gym / Fitness Center
686,864,Brooklyn,Remsen Village,40.65211745179353,-73.91665331978055,Crowhill Crossfit,40.650587473474175,-73.9129353301848,800,357,,Brooklyn,NY,Athletics & Sports
693,871,Queens,Utopia,40.7335002542976,-73.79671678028356,CrossFit Flushing,40.739137276519024,-73.7966506480444,59-47 Fresh Meadow Ln,627,11365.0,Queens,NY,Athletics & Sports
705,885,Bronx,Concourse Village,40.82478049084294,-73.91584652759016,CrossFit Equis,40.81975279405422,-73.92175018787384,655 Morris Ave,748,10451.0,Bronx,NY,Gym
720,907,Queens,Hunters Point,40.74341409007358,-73.95386782130754,CrossFit Gantry,40.74612457212019,-73.9522352960643,10-20 47th Rd,331,11101.0,Queens,NY,Gym / Fitness Center
748,962,Manhattan,Flatiron,40.73967304763847,-73.99094710528267,CrossFit Union Square,40.73531390186451,-73.99186057541449,1 Union Sq,491,10003.0,Manhattan,NY,Gym / Fitness Center
757,980,Queens,Sunnyside Gardens,40.7456518060808,-73.91819286431691,CrossFit Sunnyside,40.749980040126346,-73.91652693887511,47-01 Barnett Ave,501,11104.0,Queens,NY,Gym / Fitness Center
807,1035,Brooklyn,Broadway Junction,40.67786104769535,-73.90331684852606,Crossfit BQE,40.68713393294365,-73.90619787369248,698 Central Ave,1060,11207.0,Brooklyn,NY,Athletics & Sports
809,1037,Brooklyn,Dumbo,40.70317632822696,-73.98875280745047,CrossFit Dumbo,40.70355587265485,-73.98779136884086,48 Pearl St,91,11201.0,Brooklyn,NY,Gym
